stem,issue
00000519,"depth_not_single_channel_shape_(360, 640, 3)"
00000524,depth_is_jpeg
00000524,depth_dtype_uint8
00000524,"depth_not_single_channel_shape_(360, 640, 3)"
00000526,depth_is_jpeg
00000526,depth_dtype_uint8
00000526,"depth_not_single_channel_shape_(360, 640, 3)"
00000529,depth_is_jpeg
00000529,depth_dtype_uint8
00000529,"depth_not_single_channel_shape_(360, 640, 3)"
00000535,depth_is_jpeg
00000535,depth_dtype_uint8
00000535,"depth_not_single_channel_shape_(360, 640, 3)"
00000554,depth_is_jpeg
00000554,depth_dtype_uint8
00000554,"depth_not_single_channel_shape_(360, 640, 3)"
00000556,depth_is_jpeg
00000556,depth_dtype_uint8
00000556,"depth_not_single_channel_shape_(360, 640, 3)"
00000560,depth_is_jpeg
00000560,depth_dtype_uint8
00000560,"depth_not_single_channel_shape_(360, 640, 3)"
00000572,depth_is_jpeg
00000572,depth_dtype_uint8
00000572,"depth_not_single_channel_shape_(360, 640, 3)"
00000576,depth_is_jpeg
00000576,depth_dtype_uint8
00000576,"depth_not_single_channel_shape_(360, 640, 3)"
00000577,depth_is_jpeg
00000577,depth_dtype_uint8
00000577,"depth_not_single_channel_shape_(360, 640, 3)"
00000579,depth_is_jpeg
00000579,depth_dtype_uint8
00000579,"depth_not_single_channel_shape_(360, 640, 3)"
00000585,depth_is_jpeg
00000585,depth_dtype_uint8
00000585,"depth_not_single_channel_shape_(360, 640, 3)"
00000586,depth_is_jpeg
00000586,depth_dtype_uint8
00000586,"depth_not_single_channel_shape_(360, 640, 3)"
00000592,depth_is_jpeg
00000592,depth_dtype_uint8
00000592,"depth_not_single_channel_shape_(360, 640, 3)"
00000597,depth_is_jpeg
00000597,depth_dtype_uint8
00000597,"depth_not_single_channel_shape_(360, 640, 3)"
00000599,depth_is_jpeg
00000599,depth_dtype_uint8
00000599,"depth_not_single_channel_shape_(360, 640, 3)"
00000609,depth_is_jpeg
00000609,depth_dtype_uint8
00000609,"depth_not_single_channel_shape_(360, 640, 3)"
00000615,depth_is_jpeg
00000615,depth_dtype_uint8
00000615,"depth_not_single_channel_shape_(360, 640, 3)"
00000618,depth_is_jpeg
00000618,depth_dtype_uint8
00000618,"depth_not_single_channel_shape_(360, 640, 3)"
00000620,depth_is_jpeg
00000620,depth_dtype_uint8
00000620,"depth_not_single_channel_shape_(360, 640, 3)"
00000622,depth_is_jpeg
00000622,depth_dtype_uint8
00000622,"depth_not_single_channel_shape_(360, 640, 3)"
00000629,depth_is_jpeg
00000629,depth_dtype_uint8
00000629,"depth_not_single_channel_shape_(360, 640, 3)"
00000634,depth_is_jpeg
00000634,depth_dtype_uint8
00000634,"depth_not_single_channel_shape_(360, 640, 3)"
00000638,depth_is_jpeg
00000638,depth_dtype_uint8
00000638,"depth_not_single_channel_shape_(360, 640, 3)"
00000640,depth_is_jpeg
00000640,depth_dtype_uint8
00000640,"depth_not_single_channel_shape_(360, 640, 3)"
00000642,depth_is_jpeg
00000642,depth_dtype_uint8
00000642,"depth_not_single_channel_shape_(360, 640, 3)"
00000643,depth_is_jpeg
00000643,depth_dtype_uint8
00000643,"depth_not_single_channel_shape_(360, 640, 3)"
000644,bbox_cross_image_boundary_line_15
00000649,depth_is_jpeg
00000649,depth_dtype_uint8
00000649,"depth_not_single_channel_shape_(360, 640, 3)"
00000652,depth_is_jpeg
00000652,depth_dtype_uint8
00000652,"depth_not_single_channel_shape_(360, 640, 3)"
00000658,depth_is_jpeg
00000658,depth_dtype_uint8
00000658,"depth_not_single_channel_shape_(360, 640, 3)"
00000682,depth_is_jpeg
00000682,depth_dtype_uint8
00000682,"depth_not_single_channel_shape_(360, 640, 3)"
000755,bbox_cross_image_boundary_line_3
000782,bbox_cross_image_boundary_line_5
000850,bbox_cross_image_boundary_line_8
000868,bbox_cross_image_boundary_line_12
001029,bbox_cross_image_boundary_line_4
001038,bbox_cross_image_boundary_line_7
001047,bbox_cross_image_boundary_line_12
001168,bbox_cross_image_boundary_line_1
001202,bbox_cross_image_boundary_line_7
001257,bbox_cross_image_boundary_line_1
001260,bbox_cross_image_boundary_line_1
001265,bbox_cross_image_boundary_line_6
001387,bbox_cross_image_boundary_line_10
001388,bbox_cross_image_boundary_line_4
001470,bbox_cross_image_boundary_line_14
001677,bbox_cross_image_boundary_line_1
001712,bbox_cross_image_boundary_line_1
001803,bbox_cross_image_boundary_line_6
001813,bbox_cross_image_boundary_line_6
001833,bbox_cross_image_boundary_line_3
001835,bbox_cross_image_boundary_line_1
001835,bbox_cross_image_boundary_line_3
001841,bbox_cross_image_boundary_line_1
001841,bbox_cross_image_boundary_line_3
001851,bbox_cross_image_boundary_line_1
001851,bbox_cross_image_boundary_line_3
001854,bbox_cross_image_boundary_line_1
001859,bbox_cross_image_boundary_line_3
001865,bbox_cross_image_boundary_line_1
001873,bbox_cross_image_boundary_line_1
